DATE,PCE,POP,PSAVERT,UEMPMED,UNEMPLOY
1/1/1959,306.1,156309,11.3,4.5,2034
2/1/1959,309.6,156527,10.6,4.7,2328
3/1/1959,312.7,156731,10.3,4.6,2399
4/1/1959,312.2,156943,11.2,4.9,2386
5/1/1959,316.1,157140,10.6,4.7,2118
6/1/1959,318.2,157343,10.5,4.8,2214
7/1/1959,317.8,157553,10.7,5.1,2213
8/1/1959,320.2,157798,9.6,4.5,2350
9/1/1959,324.2,158053,8.7,4.1,2302
10/1/1959,322.8,158306,9.4,4.6,2259
11/1/1959,322.9,158451,10.1,4.4,2285
12/1/1959,322.9,158757,11,4.4,2429
1/1/1960,323.6,158973,10.9,4.5,2596
2/1/1960,325.3,159170,10.6,4.2,2849
3/1/1960,330.2,159349,9.4,4.6,3030
4/1/1960,336.5,159556,8.4,4.8,3260
5/1/1960,330,159745,10.4,4.4,3707
6/1/1960,330.1,159956,10.4,4.4,3776
7/1/1960,331.4,160184,10.4,4.4,4111
8/1/1960,331.6,160449,10.3,4.9,4193
9/1/1960,333.4,160718,10,4,4049
10/1/1960,335.4,160978,9.8,4,4916
11/1/1960,335.4,161223,9.8,4.2,3996
12/1/1960,331.3,161453,10.4,4.4,4063
1/1/1961,332.2,161690,11.1,4.4,4026
2/1/1961,333.7,161912,11.1,4.4,3936
3/1/1961,337.7,162124,10.4,4.7,3876
4/1/1961,337.6,162350,10.6,4.5,3575
5/1/1961,339.9,162564,10.8,4.8,3434
6/1/1961,340.9,162790,11.5,4.6,3367
7/1/1961,340.6,163026,12,4.6,3120
8/1/1961,342.1,163290,11.7,4.5,2799
9/1/1961,344.4,163570,11.3,4.6,2774
10/1/1961,346.5,163847,11.7,4.1,2625
11/1/1961,349.9,164107,11.6,4.7,2589
12/1/1961,352.4,164349,11.6,4.9,2639
1/1/1962,353.2,164588,11.3,5.1,2305
2/1/1962,354,164809,11.8,5.4,2117
3/1/1962,357.4,165018,11.6,5.2,2125
4/1/1962,359,165251,11.7,5.2,1919
5/1/1962,362,165463,11.1,5.6,1856
6/1/1962,360.4,165695,11.5,5.9,1995
7/1/1962,361.4,165931,11.6,6.2,1950
8/1/1962,362.9,166192,11.4,6.3,1933
9/1/1962,368.8,166473,10.4,6.4,2067
10/1/1962,366.5,166755,11.3,6.5,2194
11/1/1962,371.7,167023,10.4,6.7,2178
12/1/1962,373.6,167270,10.3,5.7,1960
1/1/1963,374.4,167513,10.9,6.2,1972
2/1/1963,373.4,167746,10.7,6.4,1957
3/1/1963,375,167977,10.6,5.8,1813
4/1/1963,376.4,168221,10.7,6.5,1811
5/1/1963,377.2,168436,10.9,6.4,1863
6/1/1963,381.7,168659,10.5,6.2,1884
7/1/1963,384.4,168903,10.1,6.2,1991
8/1/1963,386.3,169191,10.2,6.6,2087
9/1/1963,385.5,169488,11,6.6,1936
10/1/1963,386,169780,11.5,6.7,1839
11/1/1963,389.4,170063,11,6.6,1743
12/1/1963,394.7,170315,10.7,5.4,1667
1/1/1964,396.8,170571,10.7,6.1,1839
2/1/1964,400.2,170806,10.4,6,1636
3/1/1964,401.8,171029,12.1,5.6,1647
4/1/1964,402.8,171271,12.4,5.7,1723
5/1/1964,408.4,171501,11.7,5.7,1596
6/1/1964,411.4,171741,11.5,6.1,1607
7/1/1964,414.9,171984,11.2,5.7,1660
8/1/1964,417.7,172257,11.1,5.2,1665
9/1/1964,416.6,172538,11.8,5.5,1821
10/1/1964,419.6,172816,11.2,5,1974
11/1/1964,416.4,173070,12.5,4.9,2211
12/1/1964,421,173298,12.5,5,2818
1/1/1965,424.4,173533,12.1,5.2,3077
2/1/1965,431.4,173746,10.7,4.9,3331
3/1/1965,433.3,173945,10.8,5.4,3607
4/1/1965,437.1,174176,10.2,5.5,3749
5/1/1965,437.6,174397,11.2,5.1,3767
6/1/1965,435.2,174639,12.1,4.7,3551
7/1/1965,441,174882,11.9,5,3659
8/1/1965,444.4,175143,11.7,5.1,3854
9/1/1965,452,175413,12.5,4.8,3927
10/1/1965,458.5,175697,10.9,5,3666
11/1/1965,459.1,175966,11.5,4.6,3402
12/1/1965,461.7,176207,11.7,5.3,3196
1/1/1966,465.2,176447,11.2,5.7,3157
2/1/1966,470.2,176685,11,5,2969
3/1/1966,475,176905,10.7,5.3,2918
4/1/1966,476.9,177146,10.3,5.5,3049
5/1/1966,473.1,177365,11.2,5.2,2747
6/1/1966,475.5,177591,11.4,5.7,2701
7/1/1966,480.6,177830,10.9,6.3,2632
8/1/1966,483.2,178101,11.2,7.1,2784
9/1/1966,489.2,178376,11,7.2,2678
10/1/1966,488.3,178657,11.6,8.7,2830
11/1/1966,490.1,178921,11.8,9.4,2780
12/1/1966,491.8,179153,11.6,8.8,2761
1/1/1967,494.2,179386,12.1,8.6,2666
2/1/1967,493,179597,12.6,9.2,2606
3/1/1967,495.8,179788,12.8,9.2,2764
4/1/1967,501.3,180007,11.9,8.6,2650
5/1/1967,502.2,180222,12,9.5,2861
6/1/1967,506.8,180444,11.9,9,2882
7/1/1967,506.7,180671,12.6,9,2952
8/1/1967,509.8,180945,12.6,8.2,2701
9/1/1967,515.6,181238,11.9,8.7,2635
10/1/1967,512.2,181528,12.9,8.2,2571
11/1/1967,517.4,181796,12.8,8.3,2861
12/1/1967,525.1,182042,11.8,7.8,2790
1/1/1968,530.9,182287,11.7,7.7,2796
2/1/1968,533.6,182520,12.3,7.9,2622
3/1/1968,544.3,182742,11.7,7.8,2509
4/1/1968,544,182992,12.3,7.7,2600
5/1/1968,549.8,183217,12,8.4,2710
6/1/1968,556.3,183452,11.7,8,2856
7/1/1968,563.2,183691,10.7,7.5,2796
8/1/1968,567,183958,10.5,7.2,2747
9/1/1968,568.2,184243,10.6,7.2,2943
10/1/1968,571.6,184524,10.8,7.3,3020
11/1/1968,576.7,184783,10.6,7.9,3454
12/1/1968,576.5,185016,11.1,6.2,3476
1/1/1969,583.5,185242,10.3,7.1,3875
2/1/1969,588.7,185452,9.7,7,4303
3/1/1969,588.9,185650,10.2,6.7,4492
4/1/1969,593.9,185874,9.7,6.9,5016
5/1/1969,600.3,186087,10.1,7,5021
6/1/1969,600.9,186314,11.1,6.8,4944
7/1/1969,602.7,186538,11.8,6.5,5079
8/1/1969,609.9,186790,11.5,6.7,5025
9/1/1969,613.2,187058,11.6,6.2,4821
10/1/1969,618.5,187323,11.4,6.1,4570
11/1/1969,620.5,187574,11.6,5.7,4188
12/1/1969,622.8,187796,11.8,6,4191
1/1/1970,628.7,188013,11.8,5.8,4068
2/1/1970,634,188213,11.7,5.8,3965
3/1/1970,632.3,188387,12.4,5.6,3801
4/1/1970,636,188580,13.3,5.9,3571
5/1/1970,642.4,188790,12.4,5.5,3479
6/1/1970,646.3,189018,12.3,5.6,3429
7/1/1970,648.5,189242,13.5,5.9,3528
8/1/1970,652.9,189496,13.4,5.9,3588
9/1/1970,659.1,189761,12.9,5.9,3775
10/1/1970,658.3,190028,13.1,5.4,3910
11/1/1970,656.6,190265,13.6,5.6,4003
12/1/1970,665.6,190472,13.2,5.6,3653
1/1/1971,676.1,190668,13.3,5.9,3615
2/1/1971,679.4,190858,13.3,4.8,3329
3/1/1971,682,191047,13.5,5.5,3726
4/1/1971,688.8,191245,13.2,5.5,3620
5/1/1971,691.1,191447,13.6,5.3,3569
6/1/1971,699.8,191666,14.7,5.7,3766
7/1/1971,698.9,191889,13.8,5.3,3836
8/1/1971,704.9,192131,13.6,5.8,3946
9/1/1971,713,192376,13.3,6,3884
10/1/1971,715.8,192631,13.3,5.8,4252
11/1/1971,720.9,192847,13.1,5.7,4330
12/1/1971,728.4,193039,13,6.4,4617
1/1/1972,731.5,193223,12.5,7,4671
2/1/1972,736.2,193393,12.8,7.5,4832
3/1/1972,749.2,193540,11.8,7.7,4853
4/1/1972,752.5,193709,11.5,7.5,4893
5/1/1972,758,193888,11.7,7.7,5003
6/1/1972,761.6,194087,11.7,7.5,4885
7/1/1972,769.9,194303,11.7,7.4,4928
8/1/1972,776.3,194528,12,7.1,4682
9/1/1972,781.1,194761,12.2,7.1,4676
10/1/1972,794.9,194997,13,7.4,4573
11/1/1972,800.5,195195,13.6,6.9,4295
12/1/1972,806.1,195372,13.7,6.6,4177
1/1/1973,816.5,195539,12.4,7.1,4081
2/1/1973,825.8,195688,12.5,7.2,3871
3/1/1973,832.8,195831,12.7,6.8,3921
4/1/1973,835.7,195999,13.2,6.8,3906
5/1/1973,841.6,196178,13.2,6.9,3863
6/1/1973,844.3,196372,13.6,6.9,3844
7/1/1973,854.1,196560,13.2,7.1,3819
8/1/1973,853.3,196762,13.9,7.5,4013
9/1/1973,869.2,196984,13.1,7.7,3961
10/1/1973,868.2,197207,14.4,8.1,3803
11/1/1973,876.9,197398,14.4,8.5,4024
12/1/1973,876.6,197572,14.8,9.5,3907
1/1/1974,884.5,197736,14.3,8.5,4074
2/1/1974,889.7,197892,14.2,8.7,4238
3/1/1974,901.4,198037,13.4,9.5,4072
4/1/1974,910.8,198206,13.1,9.7,4055
5/1/1974,922.4,198363,12.8,10,4217
6/1/1974,928,198537,12.8,10.2,3977
7/1/1974,937.9,198712,12.8,11.1,4051
8/1/1974,954.8,198911,12.1,9.8,3878
9/1/1974,955.1,199113,12.9,10.4,3957
10/1/1974,959.2,199311,13.4,10.9,3987
11/1/1974,956.2,199498,13.8,12.3,4151
12/1/1974,961.8,199657,14,11.3,3975
1/1/1975,975.6,199808,13.2,10.1,4029
2/1/1975,989.4,199920,12.5,9.3,3932
3/1/1975,990.6,200056,12.7,9.3,3950
4/1/1975,995,200208,14.2,9.4,3918
5/1/1975,1018.9,200361,17.3,9.3,3764
6/1/1975,1026.8,200536,14.3,8.7,3814
7/1/1975,1039.8,200706,12.6,9.1,3608
8/1/1975,1047,200898,13,8.3,3655
9/1/1975,1054.8,201095,13,8.3,3712
10/1/1975,1060.9,201290,13.4,8.2,3726
11/1/1975,1075.8,201466,12.7,9.1,3551
12/1/1975,1092.1,201621,12,7.5,3651
1/1/1976,1107.1,201760,11.7,7.5,3572
2/1/1976,1107.7,201881,12.3,7.3,3730
3/1/1976,1114.9,202023,12.2,7.6,3510
4/1/1976,1125.4,202161,11.7,7.2,3595
5/1/1976,1122.7,202331,12.3,7.2,3432
6/1/1976,1140.5,202507,11.4,7.3,3387
7/1/1976,1149.6,202677,11.7,6.8,3301
8/1/1976,1158,202877,11.7,7.1,3254
9/1/1976,1168.8,203090,11.4,7.1,3216
10/1/1976,1176.8,203302,11.1,6.9,3143
11/1/1976,1189,203500,11.4,6.9,3073
12/1/1976,1211.5,203675,10.6,6.6,3031
1/1/1977,1215,203849,10.6,6.9,2988
2/1/1977,1231.3,204008,9.3,7.1,2820
3/1/1977,1238.3,204156,10.5,6.9,2887
4/1/1977,1247.3,204401,10.5,7.1,2828
5/1/1977,1257.1,204607,10.3,7,2950
6/1/1977,1263.6,204830,10.6,6.8,2872
7/1/1977,1280.5,205052,10.5,6.7,2876
8/1/1977,1285.7,205295,10.9,6.9,2900
9/1/1977,1294.5,205540,11.1,6.8,2798
10/1/1977,1311.4,205788,11,6.7,2798
11/1/1977,1327,206024,11.2,6.8,2770
12/1/1977,1336,206238,11.4,7,2912
1/1/1978,1329.5,206466,11.9,6.9,2968
2/1/1978,1355.1,206668,11.1,7.1,2915
3/1/1978,1377.5,206855,11,7.4,2889
4/1/1978,1396.4,207065,10.8,7,2895
5/1/1978,1412,207260,10.3,7.1,2929
6/1/1978,1425.8,207462,10,7.1,2992
7/1/1978,1426.8,207661,10.9,6.9,2944
8/1/1978,1447,207881,10.5,6.6,2945
9/1/1978,1452.9,208114,10.6,6.6,2958
10/1/1978,1466.9,208345,10.7,7.1,3143
11/1/1978,1480.6,208555,10.5,6.6,3066
12/1/1978,1496.5,208740,10.4,6.5,3018
1/1/1979,1502.4,208917,11.1,6.5,2878
2/1/1979,1517.8,209061,11.1,6.4,3001
3/1/1979,1531.2,209212,11.2,6,2877
4/1/1979,1538.4,209386,11,6.3,2709
5/1/1979,1558.8,209545,10.3,6.2,2740
6/1/1979,1575.7,209725,9.9,6,2938
7/1/1979,1586.1,209896,10.6,6.2,2883
8/1/1979,1615.6,210075,9.7,6.3,2768
9/1/1979,1633.9,210278,9.4,6.4,2686
10/1/1979,1641.6,210479,9.7,5.9,2689
11/1/1979,1657.3,210656,9.7,5.9,2715
12/1/1979,1666.3,210821,10.1,5.8,2685
1/1/1980,1697.3,210985,9.9,6.1,2718
2/1/1980,1701.4,211120,10.1,5.9,2692
3/1/1980,1708.2,211254,10.2,5.7,2712
4/1/1980,1695.2,211420,11.3,5.6,2758
5/1/1980,1700.1,211577,11.4,5.7,2713
6/1/1980,1718.8,211746,11.2,5.9,2816
7/1/1980,1747.1,211909,11.3,5.6,2868
8/1/1980,1763.8,212092,11.3,5.4,2856
9/1/1980,1780.5,212289,11.7,5.4,3040
10/1/1980,1817.1,212475,11.3,5.4,3049
11/1/1980,1826.8,212634,11.6,5.3,2856
12/1/1980,1851.7,212785,11.4,5.4,2884
1/1/1981,1870,212932,10.9,5.6,3201
2/1/1981,1884.2,213074,10.8,5,3453
3/1/1981,1902.9,213211,10.8,4.9,3635
4/1/1981,1904.4,213361,10.9,4.9,3797
5/1/1981,1913.8,213513,11,4.8,3919
6/1/1981,1934.5,213686,10.8,4.9,4071
7/1/1981,1942.1,213854,12.3,5.1,4175
8/1/1981,1966.6,214042,12,5.3,4256
9/1/1981,1965.5,214246,12.4,5.1,4456
10/1/1981,1963.9,214451,13,4.8,4591
11/1/1981,1970.6,214625,13.2,5.2,4898
12/1/1981,1988.8,214782,12.5,5.2,5076
1/1/1982,1997.1,214931,12.7,5.4,4986
2/1/1982,2021.2,215065,12.1,5.4,4903
3/1/1982,2024.1,215198,12.2,5.6,4987
4/1/1982,2026.3,215353,12.9,5.8,4959
5/1/1982,2044.5,215523,12.3,5.7,4996
6/1/1982,2048.1,215768,12.3,5.9,4949
7/1/1982,2072.2,215973,12.5,6,5035
8/1/1982,2080.1,216195,12.6,6.2,5134
9/1/1982,2104.6,216393,11.8,6.7,5042
10/1/1982,2125.8,216587,11.3,6.6,4954
11/1/1982,2149.3,216771,10.9,6.4,5161
12/1/1982,2161.6,216931,10.9,6.9,5154
1/1/1983,2174,217095,11.1,7,5019
2/1/1983,2177,217249,11.1,7.3,4928
3/1/1983,2202.8,217381,10.6,6.8,5038
4/1/1983,2226.4,217528,10.3,7.2,4959
5/1/1983,2245.9,217685,9.9,7.5,4922
6/1/1983,2276,217861,9.1,7.8,4923
7/1/1983,2304.4,218035,9.6,8.1,4913
8/1/1983,2320.4,218233,9.2,8.2,4939
9/1/1983,2334.9,218440,9.6,8.3,4849
10/1/1983,2357.6,218644,9.7,8.5,4875
11/1/1983,2366.3,218834,10.3,8.8,4602
12/1/1983,2393.6,219006,10.1,8.7,4543
1/1/1984,2419.4,219179,10,8.6,4326
2/1/1984,2403.5,219344,11.7,8.8,4452
3/1/1984,2431.6,219504,11.5,8.6,4394
4/1/1984,2457.5,219684,11.5,9,4459
5/1/1984,2474.5,219859,11.1,9,4329
6/1/1984,2495.6,220046,11.1,9.3,4363
7/1/1984,2494.6,220239,11.6,8.6,4305
8/1/1984,2512.2,220458,11.8,8.5,4305
9/1/1984,2533.8,220688,11.8,8.5,4350
10/1/1984,2531.3,220904,11.7,8.4,4144
11/1/1984,2571.4,221109,10.9,8.1,4396
12/1/1984,2582.6,221303,11.2,8.3,4489
1/1/1985,2618.8,221477,10.3,8.2,4644
2/1/1985,2640.8,221629,9.1,8.2,4731
3/1/1985,2648.5,221792,8.7,8.3,4634
4/1/1985,2659.5,221991,9.9,8,4618
5/1/1985,2696.4,222176,11.1,8.3,4705
6/1/1985,2689.4,222379,9.6,8.3,4927
7/1/1985,2715.7,222585,9.1,8.6,5063
8/1/1985,2752.1,222805,8.2,9.2,5022
9/1/1985,2794.7,223053,7.3,9.3,5437
10/1/1985,2755.8,223271,9.1,9.1,5523
11/1/1985,2771.1,223477,9,9.2,6140
12/1/1985,2811.3,223670,8.6,9.3,6636
1/1/1986,2827.1,223865,8.6,9,7501
2/1/1986,2820.2,224053,9.3,8.9,7520
3/1/1986,2823.6,224235,9.9,9.2,7978
4/1/1986,2835.2,224438,9.7,10,8210
5/1/1986,2857.5,224632,9.3,9,8433
6/1/1986,2861.7,224843,9.4,8.7,8220
7/1/1986,2881.2,225055,9.3,8,8127
8/1/1986,2898.6,225295,9,8.1,7928
9/1/1986,2971.8,225547,7.2,8.3,7923
10/1/1986,2932.9,225801,8.4,8.3,7897
11/1/1986,2928.4,226027,8.8,9.1,7794
12/1/1986,2997.1,226243,7,7.9,7744
1/1/1987,2935.5,226451,9.7,8.5,7534
2/1/1987,3001.7,226656,8.5,8.3,7326
3/1/1987,3013.3,226849,8.5,7.9,7230
4/1/1987,3038.8,227061,4.5,8.2,7330
5/1/1987,3048.4,227251,8.2,8,7053
6/1/1987,3072.8,227522,7.7,8.3,7322
7/1/1987,3094.7,227726,7.5,8.3,7490
8/1/1987,3130.8,227953,7.2,7.8,7518
9/1/1987,3126.5,228186,7.6,8.3,7380
10/1/1987,3134.5,228417,8.3,8.6,7430
11/1/1987,3144.2,228612,8.5,8.6,7620
12/1/1987,3174.1,228779,8.7,8.3,7545
1/1/1988,3213.7,228937,8.1,8.3,7280
2/1/1988,3221.4,229071,8.6,8.4,7443
3/1/1988,3260.5,229224,8.2,8.5,7307
4/1/1988,3263,229403,8.8,8.3,7059
5/1/1988,3293.6,229575,8.4,7.7,6911
6/1/1988,3318.5,229761,8.4,7.8,7134
7/1/1988,3342.7,229966,8.6,7.8,6829
8/1/1988,3368,230187,8.4,8.1,6925
9/1/1988,3375,230412,8.9,7.9,6751
10/1/1988,3413.7,230641,8.6,8.3,6763
11/1/1988,3430.2,230822,8.4,8,6815
12/1/1988,3459.7,230989,8.3,8,6386
1/1/1989,3483.7,231157,8.5,8.3,6489
2/1/1989,3488,231313,9,7.8,6318
3/1/1989,3498.8,231470,9.5,8.2,6337
4/1/1989,3543,231645,8.4,7.7,6180
5/1/1989,3551.8,231809,8.1,7.6,6127
6/1/1989,3566.6,231992,8.2,7.5,6028
7/1/1989,3585.7,232188,8.2,7.4,6309
8/1/1989,3620.6,232392,7.6,7,6080
9/1/1989,3621.9,232599,8.1,6.8,6125
10/1/1989,3633.6,232816,8.5,6.7,5947
11/1/1989,3643.3,232993,8.6,6,6077
